"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","i_1","i_2","i_1.1","i_2.1","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,18.1681861553674,5.09296269664547,31.2434096140894,11.843230349431,0,9.78549929514865,0,4,8,4,8,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,9.64322673720764,-0.251163677803453,19.5376171522187,11.843230349431,0,10.5092324333361,0,4,9,4,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,15.4788633064812,0.303553166279904,30.6541734466824,11.843230349431,0,11.364326812882,0,4,10,4,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,15.4253072077132,1.44055737740169,29.4100570380247,11.843230349431,0,13.6785857157933,0,5,6,5,6,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,11.324098194816,-0.91950382790907,23.567700217541,11.843230349431,0,13.4065233190698,0,5,7,5,7,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,17.11356504263,4.25207328726404,29.975056797996,11.843230349431,0,10.0766048107182,0,5,8,5,8,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,9.57915520703614,0.132816990629745,19.0254934234425,11.843230349431,0,9.57386584110515,0,5,9,5,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,17.1526443189344,1.77284689010316,32.5324417477655,11.843230349431,0,14.1116205094697,0,5,10,5,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,10.1522559510785,-1.41411516595995,21.7186270681169,11.843230349431,0,10.5841998414723,0,6,7,6,7,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,16.241041980328,3.8352835478728,28.6468004127833,11.843230349431,0,10.2194303757921,0,6,8,6,8,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,7.06029376431653,-1.6257761573076,15.7463636859407,11.843230349431,0,6.71450760190052,0,6,9,6,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,13.8534325035985,-0.545079929977001,28.2519449371741,11.843230349431,0,9.6477203892524,0,6,10,6,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,10.6055914912483,0.804920274522608,20.4062627079739,11.843230349431,0,9.40672986871459,0,7,8,7,8,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,5.61052754356932,-2.35166440500271,13.5727194921414,11.843230349431,0,4.35530968815018,0,7,9,7,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,10.5970324598934,-2.23391207772846,23.4279769975152,11.843230349431,0,7.5696681813764,0,7,10,7,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,9.01701808970158,0.551517046743943,17.4825191326592,11.843230349431,0,7.97304081824757,0,8,9,8,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,18.8907295557792,5.51637957755768,32.2650795340008,11.843230349431,0,9.5090113664694,0,8,10,8,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,9.19800740204044,-0.505654663718975,18.9016694677998,11.843230349431,0,6.68481597099189,0,9,10,9,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
