"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_total","sub_least_square_total","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8478975473163,26.134594830379,0,26.1579849249311,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8464849383514,26.134594830379,0,26.1251203335448,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.7896298770024,26.134594830379,0,25.9934179201914,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8649647193767,26.134594830379,0,26.2534020457409,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8337820944488,26.134594830379,0,26.1417545147829,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8386811756325,26.134594830379,0,26.0731507173725,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8540148712704,26.134594830379,0,26.1649412945658,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8341676228543,26.134594830379,0,26.0744990771601,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8610581927247,26.134594830379,0,26.1578195402203,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.9710613582365,26.134594830379,0,26.1907113277319,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8523612084206,26.134594830379,0,25.9788246412693,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8461987324752,26.134594830379,0,26.1028113383751,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8342319934795,26.134594830379,0,26.0798052697774,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8486074062235,26.134594830379,0,26.0864525238308,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8519466133014,26.134594830379,0,26.3297644308694,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8964829904587,26.134594830379,0,26.126827795482,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8397616404548,26.134594830379,0,26.0699443273639,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.733121041581,26.134594830379,0,25.6112899100452,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8474527843784,26.134594830379,0,26.0675909960025,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8574504138898,26.134594830379,0,25.942102730184,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8480051529679,26.134594830379,0,26.0882053042994,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8419524367105,26.134594830379,0,26.0761118469819,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8470823507718,26.134594830379,0,26.1220509583102,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8843970177913,26.134594830379,0,26.2356254260945,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.7263696676745,26.134594830379,0,25.9683159586395,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8522773904934,26.134594830379,0,26.135330216579,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8341551706178,26.134594830379,0,26.3899568048811,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8718304176664,26.134594830379,0,25.0242342803458,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8389639135504,26.134594830379,0,26.0754336440109,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8494641944094,26.134594830379,0,26.1510654746455,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.9171473155038,26.134594830379,0,26.4006074851924,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.849442045489,26.134594830379,0,26.1096845225778,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8432944484954,26.134594830379,0,26.1362523278916,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.6433639799143,26.134594830379,0,26.0980094494957,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8829699896475,26.134594830379,0,26.3460078163101,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8462498004638,26.134594830379,0,26.120793735611,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8536600630314,26.134594830379,0,26.1115708291416,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8472187720923,26.134594830379,0,25.9100227796734,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8451144352907,26.134594830379,0,26.2964853197484,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8531239731215,26.134594830379,0,26.0790897416596,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8492819063756,26.134594830379,0,26.1161396083825,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8433419126463,26.134594830379,0,26.109893339468,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
